Name,Email,Role,Project,Skills
TOK_0345918E,EMAIL_457E902B,,,
TOK_C681CA3C,EMAIL_4496E195,DevOps Engineer,,Ansible (expert); Unix (expert); Kubernetes (intermediate); GitHub Actions (intermediate); Harness (beginner); Jenkins (expert); Puppet (intermediate); Splunk (intermediate); Shell Scripting (expert); SonarQube (intermediate); Git (expert); Problem-solving and analytical thinking (expert); Terraform (expert); GCP (expert); Docker (expert); Python (intermediate)
TOK_61BD714E,EMAIL_8F6A25E7,,,
TOK_35BC24A5,EMAIL_F040E190,,,Ansible (intermediate); AWS (intermediate); GCP (intermediate); Harness (intermediate); GitHub Actions (intermediate); Kubernetes (intermediate); Docker (intermediate); Terraform (intermediate); Jenkins (intermediate); Git (intermediate); Network Security (beginner)
TOK_57897269,EMAIL_D4DEED90,,,Control-M (intermediate); BIRT report (beginner); Batch scheduling (intermediate); Confluence (intermediate); Git (beginner); GitHub (beginner); Java (beginner); JavaScript (beginner); JIRA  (expert); Linux (intermediate); Microsoft SQL Server (intermediate); Oracle (intermediate); Oracle (intermediate); PLSQL (beginner); Selenium (beginner); Shell Scripting (intermediate); SQL (intermediate); Unix (intermediate); Reconciliation (expert); Agile (intermediate); Gresham CTC (expert); TLM (beginner); Gresham Clareti Transaction Control (intermediate); HTML (beginner); XML (intermediate); CSS (beginner)
TOK_1A314D4A,EMAIL_DD8B0793,,,
TOK_D6178AF3,EMAIL_2A8D409B,Developer,DNB - UKI GCP MIGRATION ,C# (beginner); Problem-solving and analytical thinking (intermediate); JIRA  (intermediate); Data Analysis using AWS and GCP (beginner); Requirement gathering  (beginner); Azure DevOps (beginner); Lucid Chart  (beginner); Confluence (intermediate); Angular  (intermediate); Git (intermediate); GCP (intermediate); Python (beginner); AWS (intermediate); TypeScript (beginner); Scala (beginner); Terraform (beginner); JavaScript (beginner); Microsoft SQL Server (beginner); SQL (beginner); Java (intermediate)
TOK_82A84736,EMAIL_509F242F,,,"ETL TEesting (expert); Migration Testing (expert); Project Manager (expert); Looker (expert); Kibana (expert); Data Analysis using AWS and GCP (expert); Looker (expert); Test Manager (intermediate); Manaual,ETL,Database Testing (expert)"
TOK_40F6AA6F,EMAIL_3C49FB01,Web Developer,DnB,PHP (expert); GCP (beginner); JavaScript (intermediate); Microsoft SQL Server (intermediate); Docker (beginner); Git (intermediate)
TOK_035CDE5B,EMAIL_0BFE8ECA,,,AppDynamics (beginner); TypeScript (intermediate); TeamCity (intermediate); PHP (beginner); C# (intermediate); JavaScript (intermediate); GitHub Actions (intermediate); GitLab (expert); Angular  (intermediate); Jenkins (intermediate); Loadrunner (expert); playwright (expert); UFT (expert); Appium (expert); Tosca (expert); Specflow/Cucumber (expert); Pen Testing tool suite (intermediate); JAWS (expert); Cypress (expert); postman Newman  automation (intermediate); Jmeter (expert); Provar (intermediate); ALM & Automation (expert); testrail (intermediate); Zephyr (intermediate); RFT (expert); PyTest bdd (expert); AWS (expert); Kubernetes (expert); Docker (expert); GCP (expert); SQL (intermediate); Penetration Testing (intermediate); Problem-solving and analytical thinking (expert); Terraform (expert); Selenium (expert); Git (expert); Java (expert); Python (expert)
TOK_C6DCDADC,EMAIL_39F5F6FA,,,
TOK_989850A4,EMAIL_6CB07EFF,Associate,DNB - Worldbase,Problem-solving and analytical thinking (intermediate); Java (expert); PostgreSQL (intermediate); GCP (intermediate)
TOK_23D85083,EMAIL_B444C7E8,,,SQLAlchemy (beginner); Alembic (beginner); FastAPI (beginner); Data cleaning and transformation (beginner); Databricks (beginner); GitHub (beginner); kdb+/q (beginner); MongoDB (beginner); MySQL (beginner); NumPy (beginner); Object-oriented programming (beginner); Pandas (beginner); PostgreSQL (beginner); Power BI (beginner); PySpark (beginner); Tableau (beginner); Visual Studio Code (beginner); RESTful API development (beginner); JWT authentication (beginner); OAuth2 (beginner); bcrypt (beginner); Passlib (beginner); Multithreading (beginner); JSON (beginner); CRUD operations (beginner); CSV (beginner); ETL Testing (beginner); Python (intermediate); Git (beginner); SQL (intermediate)
TOK_2A10C284,EMAIL_4689705C,Associate Principal [DevOps],Point 72,AWS (intermediate); Network Security (beginner); Stake Holder management (intermediate); Backlog management  (intermediate); Requirement gathering  (intermediate); Helm (expert); IBM Urban Code Deploy (uDeploy) (expert); U Deploy (expert); Helm charts (expert); Kubernetes (expert); Docker (expert); IBM MQ (expert); Kafka (expert); Looker Studio (expert); SaltStack (intermediate); GitHub Actions (expert); GitOps (intermediate); Harness (intermediate); Jenkins (intermediate); TeamCity (intermediate); GitLab (intermediate); AppDynamics (intermediate); Problem-solving and analytical thinking (expert); SonarQube (intermediate); Git Lab (intermediate); Unix (expert); Shell Scripting (expert); Openshift (intermediate); JFrog Artifactory (intermediate); Autosys (intermediate); Confluence (expert); Splunk (intermediate); JIRA  (expert); Team City (intermediate); GitLab CI (intermediate); Ansible (intermediate); GCP (expert); Microsoft SQL Server (intermediate); SQL (intermediate); Python (intermediate); PostgreSQL (intermediate); Git (expert); Terraform (expert)
TOK_492C0BA6,EMAIL_74EC7EAB,Business Analyst,DAP,
TOK_958B4E1C,EMAIL_E06974B9,Devops Engineer,Dun & Bradstreet,Git (intermediate); Docker (intermediate); GCP (intermediate); Java (beginner); PostgreSQL (intermediate); Problem-solving and analytical thinking (intermediate); Terraform (intermediate)
TOK_537B807B,EMAIL_0E658D97,,,
TOK_537B807B,EMAIL_487AF2A6,,,Pandas (beginner); kdb+/q (beginner); Databricks (beginner); MySQL (beginner); Python (beginner); SQL (beginner); GitHub (beginner); Natural Language Processing (NLP) (beginner); Time-series data analysis (beginner); Data cleaning and transformation (beginner); Query optimization (beginner)
TOK_C1C29ACC,EMAIL_1CF24983,,,
TOK_F1D4850C,EMAIL_19D76351,Senior DevOps Engineer,,AWS CloudFormation (intermediate); Argo CD (intermediate); Azure DevOps (intermediate); GitHub Actions (expert); Datadog (beginner); Harness (beginner); GitOps (intermediate); JFrog Artifactory (expert); Jenkins (intermediate); Helm (intermediate); Helm charts (intermediate); SonarQube (intermediate); Angular  (intermediate); Docker (expert); Kubernetes (intermediate); JavaScript (intermediate); Microsoft SQL Server (beginner); Git (expert); Python (intermediate); GCP (intermediate); C# (intermediate); Terraform (expert); AWS (intermediate); Problem-solving and analytical thinking (intermediate)
TOK_D6A6BB4E,EMAIL_A126C511,Associate Principal,DNB,Appium (expert); Java (intermediate); GCP (intermediate); PostgreSQL (intermediate); Git (intermediate); Penetration Testing (beginner); Microsoft SQL Server (intermediate); Problem-solving and analytical thinking (beginner); Selenium (expert); SQL (beginner); Python (intermediate)
TOK_1EC06888,EMAIL_15DEBA3B,,,
TOK_3B1E84C9,EMAIL_1283B246,,,
TOK_EE1F7659,EMAIL_5348EE97,Tester,Compliance Check,Selenium (intermediate); ETL Testing (beginner); GCP (intermediate); SQL (intermediate); Git (expert); Terraform (intermediate); Problem-solving and analytical thinking (intermediate); Java (intermediate); Python (intermediate)
TOK_272EED50,EMAIL_9D36A332,Java Developer,Finastra,JIRA  (expert); Angular  (beginner); KeyClock (beginner); SQL (beginner); Java (beginner)
TOK_350ABCD0,EMAIL_D07DF9C4,QUALITY ENGINEERING,DNB,ETL Testing (expert)
TOK_753A2112,EMAIL_7C196481,DevOps Engineer,Alix,Linux (expert)
TOK_95CD2F4E,EMAIL_7820AAA2,Scrum Master,DnB,
TOK_C3E4FCFB,EMAIL_07453AB7,,,
TOK_2A3F21BA,EMAIL_403D0A0F,,,
TOK_EDF0B6A5,EMAIL_D7BE8260,,,Docker (intermediate); Git (expert); GCP (intermediate); Java (expert); Problem-solving and analytical thinking (intermediate); Python (beginner); PostgreSQL (intermediate); Scala (beginner); SQL (intermediate); Terraform (beginner)
TOK_E13E3CCE,EMAIL_6BAFD126,,,
TOK_E844086F,EMAIL_F6AFBD6E,,,
TOK_F96D43BA,EMAIL_78D32C66,,,Flutter (expert); Android Application Development (intermediate); Dart (expert)
TOK_52E04E74,EMAIL_306738B2,Data Enginner,DNB and Stoxx,Terraform (beginner); Docker (beginner); GCP (intermediate); PostgreSQL (beginner); Microsoft SQL Server (beginner); Git (intermediate); Scala (beginner); SQL (intermediate); Python (intermediate)
TOK_4BDB2ACA,EMAIL_79D4C5C0,Head of Delivery,Delivery,Splunk (expert); Openshift (intermediate); Lucid Chart  (expert); Microsoft SQL Server (expert); Kubernetes (expert); Confluence (expert); Python (intermediate); Problem-solving and analytical thinking (expert); Terraform (expert); Ansible (expert); Backlog management  (expert); Stake Holder management (expert); Docker (expert); GitLab (intermediate); Jenkins (expert); Git (expert); Unix (intermediate); Project Manager (intermediate); SQL (expert); Shell Scripting (intermediate); Helm charts (intermediate); GitHub Actions (expert); AWS (intermediate); Docker Swarm (intermediate); Helm (expert); Java (expert); GCP (expert); JFrog Artifactory (expert); Network Security (intermediate); JIRA  (intermediate); PostgreSQL (expert)
TOK_96421043,EMAIL_CB968AE1,,,
